model,trial,test_rmse,test_sat
BasicMLP,0,1323824.3750,0
ShieldedMLP,0,1323823.2500,7
ShieldedMLPWithKKTSTE,0,1323824.1250,7
BasicMLP,1,1385567.5000,0
ShieldedMLP,1,1385567.7500,7
ShieldedMLPWithKKTSTE,1,1385567.5000,7
BasicMLP,2,1293569.2500,7
ShieldedMLP,2,1293567.7500,7
ShieldedMLPWithKKTSTE,2,1293569.8750,7
BasicMLP,3,1465735.6250,7
ShieldedMLP,3,1465734.5000,7
ShieldedMLPWithKKTSTE,3,1465736.1250,7
BasicMLP,4,1434753.0000,0
ShieldedMLP,4,1434751.5000,7
ShieldedMLPWithKKTSTE,4,1434753.7500,7
BasicMLP,5,1402099.7500,0
ShieldedMLP,5,1402097.8750,7
ShieldedMLPWithKKTSTE,5,1402099.2500,7
BasicMLP,6,1261906.2500,0
ShieldedMLP,6,1261904.2500,7
ShieldedMLPWithKKTSTE,6,1261906.6250,7
BasicMLP,7,1090669.0000,0
ShieldedMLP,7,1090668.2500,7
ShieldedMLPWithKKTSTE,7,1090669.3750,7
BasicMLP,8,1286545.8750,0
ShieldedMLP,8,1286545.5000,7
ShieldedMLPWithKKTSTE,8,1286547.2500,7
BasicMLP,9,1281550.6250,7
ShieldedMLP,9,1281549.8750,7
ShieldedMLPWithKKTSTE,9,1281551.2500,7
