model,trial,test_rmse,test_sat,total_time
Deepmlp,0,1323814.6250,0,7.65
ShieldedMLP,0,1323814.6250,7,5.76
ShieldedMLPKKTSTE,0,1323815.1250,7,35.49
Deepmlp,1,1385558.1250,0,1.99
ShieldedMLP,1,1385558.2500,7,5.55
ShieldedMLPKKTSTE,1,1385558.2500,7,34.33
Deepmlp,2,1293559.0000,7,2.06
ShieldedMLP,2,1293559.2500,7,5.65
ShieldedMLPKKTSTE,2,1293559.6250,7,34.24
Deepmlp,3,1465726.8750,7,2.00
ShieldedMLP,3,1465726.0000,7,5.46
ShieldedMLPKKTSTE,3,1465726.2500,7,34.29
Deepmlp,4,1434743.7500,0,1.98
ShieldedMLP,4,1434742.5000,7,5.61
ShieldedMLPKKTSTE,4,1434744.3750,7,34.56
Deepmlp,5,1402090.2500,0,1.94
ShieldedMLP,5,1402088.5000,7,5.59
ShieldedMLPKKTSTE,5,1402089.2500,7,36.40
Deepmlp,6,1261895.2500,0,2.15
ShieldedMLP,6,1261895.1250,7,5.95
ShieldedMLPKKTSTE,6,1261896.5000,7,36.55
Deepmlp,7,1090659.3750,0,1.94
ShieldedMLP,7,1090657.0000,7,5.57
ShieldedMLPKKTSTE,7,1090658.0000,7,10.55
Deepmlp,8,1286536.5000,0,2.00
ShieldedMLP,8,1286535.8750,7,5.58
ShieldedMLPKKTSTE,8,1286535.8750,7,34.75
Deepmlp,9,1281541.1250,7,2.00
ShieldedMLP,9,1281540.0000,7,5.62
ShieldedMLPKKTSTE,9,1281541.1250,7,34.50
