model,trial,test_rmse,test_sat,total_time
Deepmlp,0,1323814.6250,0,7.50
ShieldedMLP,0,1323814.6250,7,5.86
ShieldedMLPMasked,0,1323813.7500,7,19.00
Deepmlp,1,1385558.1250,0,2.02
ShieldedMLP,1,1385558.2500,7,5.74
ShieldedMLPMasked,1,1385558.1250,7,19.20
Deepmlp,2,1293559.0000,7,2.02
ShieldedMLP,2,1293559.2500,7,5.67
ShieldedMLPMasked,2,1293558.5000,7,18.80
Deepmlp,3,1465726.8750,7,2.01
ShieldedMLP,3,1465726.0000,7,5.70
ShieldedMLPMasked,3,1465725.2500,7,18.36
Deepmlp,4,1434743.7500,0,2.03
ShieldedMLP,4,1434742.5000,7,5.62
ShieldedMLPMasked,4,1434742.1250,7,19.14
Deepmlp,5,1402090.2500,0,2.02
ShieldedMLP,5,1402088.5000,7,5.70
ShieldedMLPMasked,5,1402088.7500,7,19.25
Deepmlp,6,1261895.2500,0,2.00
ShieldedMLP,6,1261895.1250,7,5.66
ShieldedMLPMasked,6,1261895.1250,7,19.26
Deepmlp,7,1090659.3750,0,2.07
ShieldedMLP,7,1090657.0000,7,5.72
ShieldedMLPMasked,7,1090657.7500,7,18.97
Deepmlp,8,1286536.5000,0,1.97
ShieldedMLP,8,1286535.8750,7,5.64
ShieldedMLPMasked,8,1286535.3750,7,18.81
Deepmlp,9,1281541.1250,7,2.01
ShieldedMLP,9,1281540.0000,7,5.62
ShieldedMLPMasked,9,1281541.1250,7,18.66
