model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,1318871.5000,7,7.28
ShieldedMLP,0,1318070.8750,7,5.47
ShieldedMLPMasked,0,1319671.1250,7,17.73
Shallowmlp,1,1380595.5000,0,1.62
ShieldedMLP,1,1380716.6250,7,5.23
ShieldedMLPMasked,1,1381156.3750,7,18.17
Shallowmlp,2,1288066.7500,7,1.70
ShieldedMLP,2,1288994.6250,7,5.21
ShieldedMLPMasked,2,1287804.1250,7,17.83
Shallowmlp,3,1460823.6250,0,1.63
ShieldedMLP,3,1460464.8750,7,5.18
ShieldedMLPMasked,3,1460479.7500,7,17.78
Shallowmlp,4,1427143.7500,0,1.65
ShieldedMLP,4,1427356.3750,7,5.21
ShieldedMLPMasked,4,1428192.8750,7,18.19
Shallowmlp,5,1396654.8750,7,1.55
ShieldedMLP,5,1397404.3750,7,5.18
ShieldedMLPMasked,5,1397154.6250,7,17.70
Shallowmlp,6,1254559.6250,0,1.60
ShieldedMLP,6,1255794.6250,7,5.24
ShieldedMLPMasked,6,1255232.5000,7,18.18
Shallowmlp,7,1084654.7500,7,1.60
ShieldedMLP,7,1084881.1250,7,5.19
ShieldedMLPMasked,7,1084845.0000,7,19.00
Shallowmlp,8,1281362.3750,0,1.62
ShieldedMLP,8,1281461.5000,7,6.39
ShieldedMLPMasked,8,1281548.1250,7,18.41
Shallowmlp,9,1276033.6250,0,1.61
ShieldedMLP,9,1276530.5000,7,5.29
ShieldedMLPMasked,9,1276754.1250,7,18.09
