model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,1318871.5000,7,7.58
ShieldedMLP,0,1318070.8750,7,5.59
ShieldedMLPKKTSTE,0,1318679.1250,7,35.08
Shallowmlp,1,1380595.5000,0,1.62
ShieldedMLP,1,1380716.6250,7,5.22
ShieldedMLPKKTSTE,1,1380334.7500,7,35.84
Shallowmlp,2,1288066.7500,7,1.65
ShieldedMLP,2,1288994.6250,7,5.28
ShieldedMLPKKTSTE,2,1287939.6250,7,35.53
Shallowmlp,3,1460823.6250,0,1.60
ShieldedMLP,3,1460464.8750,7,5.27
ShieldedMLPKKTSTE,3,1460237.1250,7,35.82
Shallowmlp,4,1427143.7500,0,1.62
ShieldedMLP,4,1427356.3750,7,5.29
ShieldedMLPKKTSTE,4,1426717.5000,7,35.93
Shallowmlp,5,1396654.8750,7,1.66
ShieldedMLP,5,1397404.3750,7,5.20
ShieldedMLPKKTSTE,5,1397133.0000,7,35.26
Shallowmlp,6,1254559.6250,0,1.64
ShieldedMLP,6,1255794.6250,7,5.22
ShieldedMLPKKTSTE,6,1255779.7500,7,35.78
Shallowmlp,7,1084654.7500,7,1.60
ShieldedMLP,7,1084881.1250,7,5.26
ShieldedMLPKKTSTE,7,1084938.7500,7,35.63
Shallowmlp,8,1281362.3750,0,1.58
ShieldedMLP,8,1281461.5000,7,5.50
ShieldedMLPKKTSTE,8,1280970.5000,7,37.08
Shallowmlp,9,1276033.6250,0,1.66
ShieldedMLP,9,1276530.5000,7,5.25
ShieldedMLPKKTSTE,9,1276200.7500,7,35.81
