model,trial,test_rmse,test_sat,total_time
Deepmlp,0,7805.0410,0,134.84
ShieldedMLP,0,7721.9229,382,291.00
ShieldWithProjGrad,0,7749.9224,382,1116.36
Deepmlp,1,8016.4487,0,124.55
ShieldedMLP,1,7897.6064,382,298.72
ShieldWithProjGrad,1,7945.8447,382,1057.72
Deepmlp,2,8222.3398,0,126.28
ShieldedMLP,2,8233.0225,382,362.12
ShieldWithProjGrad,2,8248.9092,382,1167.53
Deepmlp,3,8000.3418,3,147.59
ShieldedMLP,3,8040.5391,382,364.31
ShieldWithProjGrad,3,8058.1074,382,2357.91
Deepmlp,4,7732.2529,0,138.50
ShieldedMLP,4,7693.1641,382,374.28
ShieldWithProjGrad,4,7659.0327,382,879.58
Deepmlp,5,8135.7910,0,117.64
ShieldedMLP,5,8091.0688,382,290.58
ShieldWithProjGrad,5,8159.0112,382,927.28
Deepmlp,6,8016.6919,0,131.52
ShieldedMLP,6,8006.4004,382,336.42
ShieldWithProjGrad,6,7968.6006,382,878.16
Deepmlp,7,8143.0303,0,119.55
ShieldedMLP,7,8191.3994,382,323.10
ShieldWithProjGrad,7,8104.4023,382,951.44
Deepmlp,8,7820.8521,1,117.88
ShieldedMLP,8,7771.4507,382,292.59
ShieldWithProjGrad,8,7719.4814,382,759.05
Deepmlp,9,7288.3320,0,117.78
ShieldedMLP,9,7288.7026,382,290.08
ShieldWithProjGrad,9,7292.4692,382,796.31
