model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,7862.9990,0,118.26
ShieldedMLP,0,7822.9570,382,328.65
ShieldedMLPKKTSTE,0,7868.4736,382,2204.87
Shallowmlp,1,8259.2285,2,118.34
ShieldedMLP,1,8260.3926,382,272.91
ShieldedMLPKKTSTE,1,10444.0371,382,2565.65
Shallowmlp,2,8256.0479,0,108.00
ShieldedMLP,2,8252.6074,382,324.28
ShieldedMLPKKTSTE,2,8249.7852,382,2369.91
Shallowmlp,3,8096.1104,0,106.73
ShieldedMLP,3,8096.7427,382,310.21
ShieldedMLPKKTSTE,3,10563.2939,382,2363.29
Shallowmlp,4,7800.4932,0,104.66
ShieldedMLP,4,7796.3916,382,300.06
ShieldedMLPKKTSTE,4,10205.9180,382,2271.46
Shallowmlp,5,8184.7368,0,105.15
ShieldedMLP,5,8186.1494,382,285.02
ShieldedMLPKKTSTE,5,8181.7842,382,2245.89
Shallowmlp,6,8012.6025,0,92.50
ShieldedMLP,6,8015.6152,382,264.82
ShieldedMLPKKTSTE,6,8010.0278,382,2080.46
Shallowmlp,7,8004.8604,0,93.57
ShieldedMLP,7,8009.6025,382,265.52
ShieldedMLPKKTSTE,7,8013.7393,382,2071.33
Shallowmlp,8,8059.2407,0,92.45
ShieldedMLP,8,8046.3223,382,264.86
ShieldedMLPKKTSTE,8,8048.5444,382,2080.08
Shallowmlp,9,7397.0415,2,93.08
ShieldedMLP,9,7388.4009,382,266.96
ShieldedMLPKKTSTE,9,9834.7383,382,2083.38
