model,trial,test_rmse,test_sat
BasicMLP,0,13946.7051,0
ShieldedMLP,0,14327.4531,124
ShieldedMLPWithKKTSTE,0,14244.1387,124
BasicMLP,1,13086.7393,0
ShieldedMLP,1,13497.9131,124
ShieldedMLPWithKKTSTE,1,13430.6377,124
BasicMLP,2,14255.0791,0
ShieldedMLP,2,14676.8779,124
ShieldedMLPWithKKTSTE,2,14614.3574,124
BasicMLP,3,16791.9727,0
ShieldedMLP,3,17173.4824,124
ShieldedMLPWithKKTSTE,3,17120.0195,124
BasicMLP,4,12601.2383,0
ShieldedMLP,4,13050.3770,124
ShieldedMLPWithKKTSTE,4,12982.1221,124
BasicMLP,5,12619.1797,0
ShieldedMLP,5,13069.0508,124
ShieldedMLPWithKKTSTE,5,13003.7295,124
BasicMLP,6,12771.4512,0
ShieldedMLP,6,13212.9775,124
ShieldedMLPWithKKTSTE,6,13141.0059,124
BasicMLP,7,13483.0078,0
ShieldedMLP,7,13935.5967,124
ShieldedMLPWithKKTSTE,7,13856.4023,124
BasicMLP,8,16912.7129,0
ShieldedMLP,8,17292.1484,124
ShieldedMLPWithKKTSTE,8,17223.2422,124
BasicMLP,9,13325.6299,0
ShieldedMLP,9,13746.9961,124
ShieldedMLPWithKKTSTE,9,13686.9697,124
