model,trial,test_rmse,test_sat,total_time
Deepmlp,0,13948.2363,0,46.12
ShieldedMLP,0,14310.5293,124,116.13
ShieldWithProjGrad,0,14242.3867,124,708.36
Deepmlp,1,13078.3379,0,40.78
ShieldedMLP,1,13480.7100,124,116.02
ShieldWithProjGrad,1,13422.7119,124,709.76
Deepmlp,2,14266.4814,0,40.78
ShieldedMLP,2,14682.7656,124,115.94
ShieldWithProjGrad,2,14608.1523,124,708.31
Deepmlp,3,16794.0469,0,40.75
ShieldedMLP,3,17173.9648,124,115.82
ShieldWithProjGrad,3,17111.6758,124,709.24
Deepmlp,4,12604.0078,0,41.34
ShieldedMLP,4,13053.2441,124,116.27
ShieldWithProjGrad,4,12973.0488,124,707.62
Deepmlp,5,12618.3760,0,40.39
ShieldedMLP,5,13068.7441,124,118.65
ShieldWithProjGrad,5,12995.5293,124,707.69
Deepmlp,6,12769.2070,0,40.65
ShieldedMLP,6,13200.0645,124,116.30
ShieldWithProjGrad,6,13139.6953,124,705.88
Deepmlp,7,13477.9736,0,40.73
ShieldedMLP,7,13918.5615,124,116.44
ShieldWithProjGrad,7,13863.3691,124,706.89
Deepmlp,8,16917.3516,0,40.79
ShieldedMLP,8,17283.7773,124,115.63
ShieldWithProjGrad,8,17221.5527,124,709.41
Deepmlp,9,13321.3438,0,40.72
ShieldedMLP,9,13734.8086,124,115.76
ShieldWithProjGrad,9,13677.0098,124,710.84
