model,trial,test_rmse,test_sat,total_time
Deepmlp,0,13948.2363,0,45.77
ShieldedMLP,0,14310.5293,124,116.31
ShieldedMLPMasked,0,15269.7900,124,403.39
Deepmlp,1,13078.3379,0,40.59
ShieldedMLP,1,13480.7100,124,116.45
ShieldedMLPMasked,1,14406.0830,124,404.91
Deepmlp,2,14266.4814,0,41.35
ShieldedMLP,2,14682.7656,124,116.63
ShieldedMLPMasked,2,15584.4287,124,404.60
Deepmlp,3,16794.0469,0,39.89
ShieldedMLP,3,17173.9648,124,116.80
ShieldedMLPMasked,3,18073.5352,124,403.08
Deepmlp,4,12604.0078,0,40.94
ShieldedMLP,4,13053.2441,124,116.56
ShieldedMLPMasked,4,13960.7568,124,403.06
Deepmlp,5,12618.3760,0,40.49
ShieldedMLP,5,13068.7441,124,116.22
ShieldedMLPMasked,5,13959.5439,124,401.95
Deepmlp,6,12769.2070,0,40.63
ShieldedMLP,6,13200.0645,124,116.37
ShieldedMLPMasked,6,14117.6133,124,403.11
Deepmlp,7,13477.9736,0,40.56
ShieldedMLP,7,13918.5615,124,115.77
ShieldedMLPMasked,7,14886.6230,124,418.00
Deepmlp,8,16917.3516,0,51.75
ShieldedMLP,8,17283.7773,124,143.57
ShieldedMLPMasked,8,18222.3652,124,402.17
Deepmlp,9,13321.3438,0,40.65
ShieldedMLP,9,13734.8086,124,122.85
ShieldedMLPMasked,9,14672.3105,124,486.28
