model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,8206.3467,0,37.32
ShieldedMLP,0,10521.1484,124,107.18
ShieldedMLPMasked,0,15285.4639,124,392.00
Shallowmlp,1,7801.9326,0,32.38
ShieldedMLP,1,10849.2539,124,106.73
ShieldedMLPMasked,1,14435.9434,124,393.24
Shallowmlp,2,8187.9048,0,32.43
ShieldedMLP,2,11569.6084,124,106.81
ShieldedMLPMasked,2,15589.2930,124,392.16
Shallowmlp,3,9912.8291,0,32.46
ShieldedMLP,3,14006.8506,124,106.32
ShieldedMLPMasked,3,18062.9629,124,395.27
Shallowmlp,4,8156.9927,0,33.00
ShieldedMLP,4,11255.9619,124,107.01
ShieldedMLPMasked,4,13967.6396,124,396.97
Shallowmlp,5,7404.5859,0,33.22
ShieldedMLP,5,10963.5332,124,107.66
ShieldedMLPMasked,5,13982.6895,124,451.15
Shallowmlp,6,7728.2104,0,35.49
ShieldedMLP,6,11188.8584,124,108.45
ShieldedMLPMasked,6,14126.9541,124,399.48
Shallowmlp,7,8125.5093,0,32.55
ShieldedMLP,7,11716.2881,124,108.05
ShieldedMLPMasked,7,14890.9688,124,448.22
Shallowmlp,8,10194.5674,0,32.73
ShieldedMLP,8,13956.7793,124,108.33
ShieldedMLPMasked,8,18204.7031,124,393.70
Shallowmlp,9,7175.3071,0,32.59
ShieldedMLP,9,11003.6943,124,107.51
ShieldedMLPMasked,9,14665.9326,124,409.73
