model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,8206.3467,0,38.28
ShieldedMLP,0,10521.1484,124,108.33
ShieldWithProjGrad,0,10525.5059,124,715.27
Shallowmlp,1,7801.9326,0,32.89
ShieldedMLP,1,10849.2539,124,108.52
ShieldWithProjGrad,1,10853.6309,124,710.34
Shallowmlp,2,8187.9048,0,32.97
ShieldedMLP,2,11569.6084,124,108.81
ShieldWithProjGrad,2,11570.0420,124,717.33
Shallowmlp,3,9912.8291,0,32.80
ShieldedMLP,3,14006.8506,124,108.56
ShieldWithProjGrad,3,11524.8633,124,696.77
Shallowmlp,4,8156.9927,0,33.04
ShieldedMLP,4,11255.9619,124,108.70
ShieldWithProjGrad,4,11256.7070,124,718.96
Shallowmlp,5,7404.5859,0,33.25
ShieldedMLP,5,10963.5332,124,108.57
ShieldWithProjGrad,5,10965.1816,124,716.54
Shallowmlp,6,7728.2104,0,32.96
ShieldedMLP,6,11188.8584,124,108.95
ShieldWithProjGrad,6,11188.7686,124,708.71
Shallowmlp,7,8125.5093,0,32.71
ShieldedMLP,7,11716.2881,124,112.39
ShieldWithProjGrad,7,11716.1328,124,699.13
Shallowmlp,8,10194.5674,0,32.41
ShieldedMLP,8,13956.7793,124,107.15
ShieldWithProjGrad,8,13953.5645,124,709.46
Shallowmlp,9,7175.3071,0,32.54
ShieldedMLP,9,11003.6943,124,107.19
ShieldWithProjGrad,9,11001.6436,124,704.30
