model,trial,test_rmse,test_sat
BasicMLP,0,10.2120,36
ShieldedMLP,0,10.4932,36
ShieldedMLPWithKKTSTE,0,10.2011,36
BasicMLP,1,10.4021,36
ShieldedMLP,1,10.6277,36
ShieldedMLPWithKKTSTE,1,10.4032,36
BasicMLP,2,13.9213,36
ShieldedMLP,2,14.0809,36
ShieldedMLPWithKKTSTE,2,13.9188,36
BasicMLP,3,10.0835,36
ShieldedMLP,3,10.2588,36
ShieldedMLPWithKKTSTE,3,10.0843,36
BasicMLP,4,9.1121,36
ShieldedMLP,4,9.3877,36
ShieldedMLPWithKKTSTE,4,9.1167,36
BasicMLP,5,12.3810,36
ShieldedMLP,5,12.5673,36
ShieldedMLPWithKKTSTE,5,12.3879,36
BasicMLP,6,13.5774,36
ShieldedMLP,6,13.7405,36
ShieldedMLPWithKKTSTE,6,13.5765,36
BasicMLP,7,11.3513,36
ShieldedMLP,7,11.6493,36
ShieldedMLPWithKKTSTE,7,11.3522,36
BasicMLP,8,11.9392,36
ShieldedMLP,8,12.0746,36
ShieldedMLPWithKKTSTE,8,11.9410,36
BasicMLP,9,12.0144,36
ShieldedMLP,9,12.1391,36
ShieldedMLPWithKKTSTE,9,12.0127,36
