model,trial,test_rmse,test_sat,total_time
Deepmlp,0,10.2261,36,21.90
ShieldedMLP,0,10.3458,36,39.80
ShieldWithProjGrad,0,10.2070,36,66.15
Deepmlp,1,10.4024,36,15.63
ShieldedMLP,1,10.5539,36,39.29
ShieldWithProjGrad,1,10.4027,36,82.58
Deepmlp,2,13.9272,36,15.51
ShieldedMLP,2,14.1540,36,39.27
ShieldWithProjGrad,2,13.9188,36,193.93
Deepmlp,3,10.0837,36,15.55
ShieldedMLP,3,10.2903,36,39.40
ShieldWithProjGrad,3,10.0845,36,147.83
Deepmlp,4,9.1263,36,15.79
ShieldedMLP,4,9.3499,36,40.25
ShieldWithProjGrad,4,9.1337,36,62.05
Deepmlp,5,12.3800,36,16.01
ShieldedMLP,5,12.5905,36,39.93
ShieldWithProjGrad,5,12.3852,36,61.72
Deepmlp,6,13.5777,36,15.61
ShieldedMLP,6,13.6947,36,40.09
ShieldWithProjGrad,6,13.5799,36,214.50
Deepmlp,7,11.3511,36,18.28
ShieldedMLP,7,11.5683,36,42.54
ShieldWithProjGrad,7,11.3567,36,61.50
Deepmlp,8,11.9396,36,15.76
ShieldedMLP,8,12.1568,36,39.78
ShieldWithProjGrad,8,11.9410,36,61.19
Deepmlp,9,12.0171,36,15.61
ShieldedMLP,9,12.1397,36,39.50
ShieldWithProjGrad,9,12.0154,36,82.32
