model,trial,test_rmse,test_sat,total_time
Deepmlp,0,10.2265,36,20.70
ShieldedMLP,0,10.3456,36,38.64
ShieldedMLPMasked,0,12.9506,36,319.09
Deepmlp,1,10.4024,36,15.03
ShieldedMLP,1,10.6080,36,38.93
ShieldedMLPMasked,1,13.3129,36,320.12
Deepmlp,2,13.9265,36,15.17
ShieldedMLP,2,14.1004,36,38.39
ShieldedMLPMasked,2,16.2989,36,322.15
Deepmlp,3,10.0841,36,14.99
ShieldedMLP,3,10.2900,36,38.49
ShieldedMLPMasked,3,13.0136,36,316.14
Deepmlp,4,9.1263,36,15.12
ShieldedMLP,4,9.3493,36,38.80
ShieldedMLPMasked,4,11.9564,36,317.66
Deepmlp,5,12.3794,36,15.14
ShieldedMLP,5,12.5950,36,38.48
ShieldedMLPMasked,5,15.0033,36,322.38
Deepmlp,6,13.5775,36,15.14
ShieldedMLP,6,13.7398,36,38.49
ShieldedMLPMasked,6,15.9198,36,316.20
Deepmlp,7,11.3513,36,15.00
ShieldedMLP,7,11.5687,36,38.39
ShieldedMLPMasked,7,14.0876,36,319.36
Deepmlp,8,11.9395,36,15.11
ShieldedMLP,8,12.1585,36,38.27
ShieldedMLPMasked,8,14.6294,36,315.91
Deepmlp,9,12.0166,36,14.77
ShieldedMLP,9,12.1394,36,38.68
ShieldedMLPMasked,9,14.4659,36,315.42
