model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,10.5685,0,18.52
ShieldedMLP,0,26.7487,36,37.30
ShieldedMLPMasked,0,15.8773,36,330.94
Shallowmlp,1,30.1912,0,12.77
ShieldedMLP,1,11.6623,36,36.91
ShieldedMLPMasked,1,17.2860,36,331.28
Shallowmlp,2,15.9954,0,13.13
ShieldedMLP,2,58.1325,36,37.30
ShieldedMLPMasked,2,20.4601,36,332.33
Shallowmlp,3,19.4120,0,13.74
ShieldedMLP,3,14.7998,36,38.92
ShieldedMLPMasked,3,20.1715,36,331.88
Shallowmlp,4,10.0453,36,13.20
ShieldedMLP,4,15.5519,36,37.02
ShieldedMLPMasked,4,24.1782,36,334.50
Shallowmlp,5,12.7557,0,13.10
ShieldedMLP,5,23.9426,36,37.04
ShieldedMLPMasked,5,24.9766,36,330.96
Shallowmlp,6,13.4940,36,13.84
ShieldedMLP,6,29.8372,36,39.46
ShieldedMLPMasked,6,21.0146,36,330.85
Shallowmlp,7,14.9851,36,13.03
ShieldedMLP,7,33.1205,36,36.76
ShieldedMLPMasked,7,19.2211,36,330.43
Shallowmlp,8,12.0074,36,13.19
ShieldedMLP,8,16.4462,36,36.90
ShieldedMLPMasked,8,23.2701,36,332.88
Shallowmlp,9,13.1108,36,12.98
ShieldedMLP,9,12.9512,36,37.15
ShieldedMLPMasked,9,21.9867,36,330.64
