model,trial,test_rmse,test_sat,total_time
Shallowmlp,0,10.5685,0,70.14
ShieldedMLP,0,26.7487,36,42.05
ShieldWithProjGrad,0,110462.6875,36,208.17
Shallowmlp,1,30.1912,0,12.88
ShieldedMLP,1,11.6623,36,36.93
ShieldWithProjGrad,1,476625.8125,0,209.07
Shallowmlp,2,15.9954,0,12.90
ShieldedMLP,2,58.1325,36,38.16
ShieldWithProjGrad,2,1465056.0000,0,212.85
Shallowmlp,3,19.4120,0,13.64
ShieldedMLP,3,14.7998,36,39.03
ShieldWithProjGrad,3,155046.8125,0,207.13
Shallowmlp,4,10.0453,36,12.90
ShieldedMLP,4,15.5519,36,36.22
ShieldWithProjGrad,4,2706160.0000,0,205.01
Shallowmlp,5,12.7557,0,12.87
ShieldedMLP,5,23.9426,36,36.65
ShieldWithProjGrad,5,306037.0000,36,209.87
Shallowmlp,6,13.4940,36,12.92
ShieldedMLP,6,29.8372,36,37.45
ShieldWithProjGrad,6,532044.6875,3,207.64
Shallowmlp,7,14.9851,36,12.91
ShieldedMLP,7,33.1205,36,39.63
ShieldWithProjGrad,7,510785.4375,0,204.46
Shallowmlp,8,12.0074,36,13.01
ShieldedMLP,8,16.4462,36,39.68
ShieldWithProjGrad,8,223063.4375,0,206.71
Shallowmlp,9,13.1108,36,13.00
ShieldedMLP,9,12.9512,36,37.25
ShieldWithProjGrad,9,494015.0938,36,225.80
